"","BPA08122015_6AM","BPB08122015_6AM","BPC08122015_6AM","BPZ08122015_6AM","BPA08122015_9AM","BPB08122015_9AM","BPC08122015_9AM","BPA08122015_12PM","BPB08122015_12PM","BPC08122015_12PM","BPA08122015_3PM","BPB08122015_3PM","BPC08122015_3PM","BPA08122015_6PM","BPB08122015_6PM","BPA08122015_9PM","BPB08122015_9PM","BPC08122015_9PM","BPA08132015_12AM","BPB08132015_12AM","BPC08132015_12AM","BPZ08132015_12AM","BPA08132015_3AM","BPB08132015_3AM","BPC08132015_3AM","BPA08132015_6AM","BPB08132015_6AM","BPC08132015_6AM","BPZ08132015_6AM","BPA08132015_9AM","BPB08132015_9AM","BPC08132015_9AM","BPA08132015_12PM","BPB08132015_12PM","BPC08132015_12PM","BPA08132015_3PM","BPB08132015_3PM","BPC08132015_3PM","BPB08142015_6AM","BPC08142015_6AM","BPZ08142015_6AM","BPB08142015_9AM","BPC08142015_9AM","BPB08142015_12PM","BPC08142015_12PM","BPA08142015_3PM","BPB08142015_3PM","BPC08142015_3PM"
"BPA08122015_6AM",0,0.162873,0.307685,0.493177,0.122581,0.315174,0.304933,0.268193,0.283336,0.28138,0.267705,0.276133,0.28009,0.293433,0.279924,0.245479,0.304134,0.292954,0.235296,0.307254,0.304772,0.383116,0.290212,0.299594,0.31981,0.146906,0.277431,0.315542,0.401661,0.155312,0.295102,0.315748,0.232771,0.281068,0.31128,0.31317,0.305869,0.311032,0.309179,0.305776,0.376555,0.295061,0.311973,0.262142,0.285122,0.295779,0.271999,0.318011
"BPB08122015_6AM",0.162873,0,0.312803,0.487819,0.152898,0.323365,0.310868,0.281518,0.291519,0.290198,0.280059,0.287942,0.289676,0.301045,0.29194,0.253644,0.315191,0.303111,0.23761,0.31498,0.314481,0.368342,0.297017,0.308221,0.326782,0.16336,0.312793,0.322628,0.389848,0.166553,0.304411,0.320734,0.238439,0.294469,0.316932,0.320897,0.314365,0.320166,0.32232,0.34552,0.387996,0.326545,0.352296,0.290917,0.298128,0.331319,0.308285,0.357197
"BPC08122015_6AM",0.307685,0.312803,0,0.529857,0.280411,0.114453,0.063578,0.099456,0.048768,0.066845,0.080614,0.09542,0.086589,0.031085,0.08183,0.08584,0.06057,0.05806,0.13124,0.088642,0.054258,0.500515,0.110791,0.073451,0.082583,0.236506,0.10291,0.05616,0.492306,0.215653,0.057971,0.068986,0.105008,0.064076,0.074143,0.085497,0.075182,0.093143,0.087005,0.142155,0.450029,0.150148,0.131588,0.166509,0.100447,0.101294,0.12193,0.150436
"BPZ08122015_6AM",0.493177,0.487819,0.529857,0,0.475098,0.558067,0.536871,0.537652,0.519594,0.520677,0.507811,0.49926,0.508751,0.526131,0.510954,0.51866,0.524241,0.520773,0.537068,0.54903,0.523975,0.382757,0.550734,0.543952,0.548029,0.485067,0.511044,0.544235,0.34029,0.485848,0.5268,0.543289,0.510339,0.514567,0.547246,0.545997,0.539462,0.536491,0.543813,0.51176,0.461258,0.559206,0.53613,0.502204,0.528501,0.519267,0.513075,0.518604
"BPA08122015_9AM",0.122581,0.152898,0.280411,0.475098,0,0.291291,0.277944,0.246797,0.253625,0.25148,0.24104,0.243065,0.250354,0.265792,0.251652,0.215407,0.276002,0.26679,0.233401,0.281047,0.277247,0.371304,0.270587,0.273446,0.289479,0.137759,0.261131,0.287193,0.379502,0.14733,0.265555,0.285265,0.202942,0.253591,0.284103,0.287618,0.279455,0.283681,0.284621,0.292668,0.372226,0.27829,0.300456,0.249561,0.259629,0.282465,0.257019,0.304937
"BPB08122015_9AM",0.315174,0.323365,0.114453,0.558067,0.291291,0,0.08046,0.099156,0.114926,0.12181,0.153827,0.170449,0.149587,0.114531,0.158168,0.122322,0.140945,0.129265,0.130921,0.096501,0.134322,0.512413,0.047464,0.076813,0.120804,0.248477,0.189979,0.093126,0.506106,0.224459,0.134188,0.127564,0.149572,0.14272,0.081011,0.087123,0.086861,0.121391,0.12951,0.222334,0.458768,0.178012,0.18479,0.216877,0.15843,0.186136,0.183531,0.214727
"BPC08122015_9AM",0.304933,0.310868,0.063578,0.536871,0.277944,0.08046,0,0.07036,0.062781,0.073177,0.101573,0.118516,0.090693,0.064854,0.102134,0.106378,0.09077,0.081963,0.131898,0.104777,0.082416,0.503926,0.087169,0.078365,0.093935,0.236305,0.139449,0.06868,0.494347,0.215299,0.084961,0.078305,0.117829,0.093735,0.077967,0.097357,0.087434,0.098353,0.108555,0.171304,0.448231,0.157528,0.143615,0.194714,0.126562,0.141505,0.146778,0.183588
"BPA08122015_12PM",0.268193,0.281518,0.099456,0.537652,0.246797,0.099156,0.07036,0,0.087408,0.103975,0.122531,0.146631,0.123868,0.094375,0.144597,0.094677,0.134112,0.117643,0.117259,0.115813,0.127244,0.487286,0.077372,0.083414,0.1343,0.209646,0.162749,0.107218,0.485254,0.186907,0.120724,0.130984,0.108618,0.128051,0.108103,0.114341,0.108391,0.132905,0.13569,0.210343,0.430844,0.174319,0.179864,0.198301,0.140443,0.16974,0.161268,0.203504
"BPB08122015_12PM",0.283336,0.291519,0.048768,0.519594,0.253625,0.114926,0.062781,0.087408,0,0.053815,0.064047,0.078794,0.072913,0.049914,0.076378,0.082069,0.073324,0.073865,0.123389,0.105177,0.06335,0.486326,0.103712,0.086503,0.105182,0.214586,0.098758,0.076198,0.481928,0.192612,0.059958,0.093434,0.089487,0.058255,0.088835,0.101921,0.090722,0.11184,0.107908,0.155167,0.434989,0.15853,0.154733,0.16415,0.108828,0.107525,0.118285,0.162535
"BPC08122015_12PM",0.28138,0.290198,0.066845,0.520677,0.25148,0.12181,0.073177,0.103975,0.053815,0,0.07488,0.083319,0.053538,0.060742,0.063472,0.088812,0.07073,0.062764,0.130397,0.10471,0.067689,0.489488,0.11947,0.097763,0.095779,0.214483,0.117461,0.08115,0.485887,0.189206,0.063543,0.090175,0.090491,0.068141,0.089545,0.108138,0.097218,0.095334,0.113801,0.134245,0.423754,0.137973,0.135569,0.145667,0.086788,0.124874,0.111048,0.143865
