"Nutrient","Salt.CoEf","Salt_poly_2.CoEf","Salt.P.Value","Salt_poly_2.P.Value","Model.RSE","Model.R2","Model.Adj.R2","Model.F.statistic","Std.Beta.Salinity","Std.Beta.Salinity_poly_2"
"Bacterioplankton",306.028881905711,-55.4894925304061,1.37469001586507e-07,0.228395161812893,45.1576216029304,0.604775189790992,0.579276814938798,23.7181856999389,0.765195854154835,-0.138746151569134
"Eukaryotes",19.062249777939,-19.9205978503162,0.00281373198408025,0.00191514330952888,5.874106561905,0.415441721009068,0.377728283654814,11.0157479708545,0.445620740623448,-0.465686457324322
"DOC..uM.",68.5275938514427,-35.3884709270841,0.0460373130661464,0.291409072092426,32.9708419942869,0.150030604090678,0.0951938688707217,2.73595069963389,0.344156710840895,-0.177726650994875
"Chla.ug.L",0.199096562764797,-0.913538852165489,0.315596008659934,5.35645217790235e-05,0.195181585524333,0.425363935564917,0.388290641085234,11.4735941743194,0.138880257597029,-0.637241092220755
"Phosphate.umol.L",-5.83903954051025,0.0482767090469805,2.92106565387732e-16,0.897921992528915,0.373246220155223,0.887579095193716,0.880326133593311,122.374713130165,-0.942081963404099,0.00778905786304942
"Silicate.umol.L",-1113.33448620209,-17.2901568793926,7.60731862443696e-15,0.83075217243834,80.2149506713973,0.861411568420251,0.852470379286073,96.3419468588955,-0.928010700779218,-0.0144120664553952
"N.N.umol.L",-303.470065144769,13.257531596108,1.30149016084617e-15,0.522250995569171,20.4836710092376,0.876449527830735,0.868478529626266,109.954801813828,-0.935296746799351,0.0408598000152474
"NH3.umol.L",0.0881781793833909,-1.63504570772131,0.735423560049555,4.91780446402211e-07,0.258606927833234,0.563935716597963,0.535802537023638,20.0452179643649,0.0404403945432082,-0.749866848905292
"DON.SFIA.uM",-16.6298292546924,0.297417477028191,0.000172522208344881,0.939645399881282,3.89636159005226,0.370200274791322,0.329568034455278,9.11099835326894,-0.608343571583956,0.0108799680054301
"M.C",-0.232766710140425,0.0159214543300816,8.24319775159272e-09,0.597122491198252,0.0298131775303422,0.66392905046743,0.642247053723394,30.6212134567372,-0.812918939304828,0.0556043935938776
"HIX",-5.70944139968044,-0.836673883487792,8.01392799657051e-08,0.314879497602237,0.818988146182689,0.615590549547568,0.590789939840959,24.8215893411497,-0.776304645331116,-0.113761360684979
"CobleA",-0.0481368222377993,-0.0186534394369777,6.56249329292984e-12,0.000249127450204327,0.00450871802198553,0.808761945597532,0.796424006603825,65.5508141197654,-0.838553262872459,-0.324946720130369
"CobleT",-0.00301787342289347,-0.0202623059162223,0.685674654084841,0.0100234716927107,0.00738669556558947,0.198788610033539,0.147097552616348,3.84570600731081,-0.0656815707721287,-0.440992677143788
