"Nutrient","Salt.CoEf","Salt_poly_2.CoEf","Salt.P.Value","Salt_poly_2.P.Value","Model.RSE","Model.R2","Model.Adj.R2","Model.F.statistic","Std.Beta.Salinity","Std.Beta.Salinity_poly_2"
"Bacterioplankton",332.775904173954,-43.5205335890628,1.21168948992116e-09,0.321380687200779,43.393585170367,0.576173484961444,0.556908643368782,29.9080312802011,0.752651727039408,-0.0984320209385174
"Eukaryotes",39.0517457395507,0.663182376031406,0.000563595008149757,0.949931268196713,10.5013208495459,0.239189495903018,0.204607200262246,6.91653030752006,0.488999524705097,0.00830426042500106
"DOC..uM.",76.2461861795394,-26.6304509849442,0.0173133379813236,0.392328011223203,30.8258516670838,0.134952779220286,0.0956324510030264,3.43213765853176,0.346813991839039,-0.121131475203422
"Chla.ug.L",0.60930807725584,-0.465550598509923,0.0627834520868986,0.151755355282972,0.319158842840705,0.115976509265866,0.0757936233234049,2.88621652093224,0.270604876131612,-0.206759547009711
"Phosphate.umol.L",-6.38032464703216,0.0200401234020102,9.7116799630757e-24,0.95012166500207,0.318543119793398,0.901166467315899,0.896674034012077,200.596515600815,-0.94929319866156,0.0029816590688243
"Silicate.umol.L",-1218.87002714875,-19.201124390405,5.95294906540129e-22,0.77760924486453,67.5679220799987,0.880917852888493,0.875505028019788,162.746416936868,-0.93845580351779,-0.0147836981933132
"N.N.umol.L",-331.496097309315,13.152411300694,7.54767653324339e-23,0.454546957508916,17.4311203858226,0.891688073638914,0.886764804258865,181.117059580838,-0.943550000677973,0.0374362105388747
"NH3.umol.L",0.23112237496295,-1.50964141686466,0.477013878804109,2.70942288018393e-05,0.322236556845535,0.337973467281119,0.307881352157534,11.2312965005316,0.0879789030350076,-0.574659185867481
"DON.SFIA.uM",-15.4940693297715,2.936012225534,4.89922355779109e-05,0.398248393217631,3.44175856303486,0.323012395831266,0.292240232005415,10.4969022542349,-0.558404762255722,0.105813597053485
"M.C",-0.29426517352167,-0.013857359820018,1.098040847074e-08,0.742814520600011,0.041966325016925,0.528283053828027,0.506841374456573,24.6381379310878,-0.726026256707094,-0.0341895949070916
"HIX",-5.27132855278112,-0.270527719600301,9.90680236126672e-07,0.77199341373689,0.927863660830034,0.423785272409082,0.397593693882222,16.1802112069909,-0.650132322927396,-0.0333651778672005
"CobleA",-0.0522832446484433,-0.0174092426821024,2.89375477270307e-15,0.00028705737752486,0.00441793301127378,0.779536371864549,0.769515297858392,77.7897031182094,-0.83769426483932,-0.278934921657111
"CobleT",-0.00919206180242531,-0.0209142844443808,0.281112620379083,0.0169201988391284,0.008423601585167,0.143221614076139,0.104277141988691,3.67758519757414,-0.152273044417954,-0.346460003492216
